"In a 20 mph collision, 4% of pedestrians die, 30 mph is 55%, and 40 mph is over 80%.","Guide for the Planning, Design, and Operation of Pedestrian Facilities",,,,AASHTO,,Cars
"Now that we have built the sprawling system of far-flung houses, offices, and discount marts connected by freeways, we can't afford to live in it. We also failed to anticipate the costs of the social problems we created in letting our towns and cities go to hell. Two generations have grown up and matured in America without experiencing what it is like to live in a human habitat of quality. We have lost so much culture in the sense of how to build things well. Bodies of knowledge and sets of skills that took centuries to develop were tossed into the garbage, and we will not get them back easily. The culture of architecture was lost to Modernism and its dogmas. The culture of town planning was handed over to lawyers and bureaucrats, with pockets of resistance mopped up by the automobile, highway, and real estate interests.",The Geography of Nowhere,,James,Howard,Kunstler,,Sprawl
"The road is now like television, violent and tawdry. The landscape it runs through is littered with cartoon buildings and commercial messages. We whiz by them at 55 miles an hour and forget them, because one convenience store looks like the next. They do not celebrate anything beyond their mechanistic ability to sell merchandise. We don't want to remember them. We did not savor the approach and we were not rewarded upon reaching the destination, and it will be the same next time, and every time. There is little sense of having arrived anywhere, because everyplace looks like noplace in particular.Suburbia is economically catastrophic, socially toxic, ecologically suicidal and spiritually degrading. It has become a cartoon of country life, an abstraction of it, in many cases a mockery of it.",The Geography of Nowhere,,James,Howard,Kunstler,,Sprawl
"What's bad about sprawl is not its uniformity, but that it is so uniformly bad.",,,James,Howard,Kunstler,,Sprawl
"...there's a reason that Elm Street and Main Street resonate in our cultural memory. It's not because we're sentimental saps. It's because this pattern of human ecology produced places that worked wonderfully well, and which people deeply loved.",,,James,Howard,Kunstler,,Thoroughfares
We are never going to save the rural places or the agricultural places or the wild and scenic places (or the wild species that dwell there) unless we identify the human habitat and then strive to make it so good that humans will voluntarily inhabit it.,,,James,Howard,Kunstler,,Urbanism
"When you go to a party with 100 people, 99 of them think no one likes them. The other one is me.",,,James,Howard,Kunstler,,Wisdom
"This is what I think lies at the heart of the classical tradition -- it is not a collection of motifs, not a menu of styles. It is an attitude toward the project of civilization, which is based on the idea that we are poised between memory and hope; that we have come from someplace memorable and are bound for someplace hopeful, and that the present time we occupy ought to be endowed with grace.",,,James,Howard,Kunstler,,Wisdom
Finding ways to intervene positively rather than destructively in the old city is a lot of what pro-urbanist planning--new or old--is all about.,,,Nathan,,Landau,,City
"Density is necessary but not sufficient for walkable, transit-friendly urban(e) communities...without adequate baseline densities, communities can wind up building a lot of sidewalks that hardly anybody walks on.",,,Nathan,,Landau,,Density
"As we all know, architecture and urbanism, unlike other specialties, such as surgery and biology, are susceptible to being valued, criticized and even vetoed by persons without the most minimal knowledge of their most elemental principles.","Havana, 2003",,Mario,,Lanza,,Public Process
I have never seen a fact that would stand up to a myth at a public hearing.,,,J. Gary,,Lawrence,,Wisdom
"Please remember that many communities along coastal California have constructed Reality Distortion Fields, in which antique political theories are test-driven on the proving track of sheer ignorance.",,,Steven,,Lawton,,Government
"…the state of Detroit today (1/3 of the city's land is vacant, decrease in population by 1/2, etc.) is exactly what the automobile industry intended to have happen to formerly pedestrian-oriented cities. Detroit probably has more freeway miles than most U.S. cities, and it sure hasn't benefited Detroit. (Reflecting upon this is the source of my challenge to freeway proponents -- name one freeway construction project that has benefited the traditional center city more than the suburbs, or benefited the city at all. The reality is that freeways are for suburbanites.)",,,Richard,,Layman,,Cars
Life is always right.,,,,,Le Corbusier,,Tradition
"It is a sobering thought, for example, that when Mozart was my age, he had been dead for two years.",,,Tom,,Lehrer,,Wisdom
LA in 1970-90 grew 45% in population and 300% in size.,,,Chris,,Leinberger,,Planning
"Life has its own urges and only so much patience with the status quo. Sooner or later the vibrancy of existence combines in some new way that utterly confounds all plans and predictions, demonstrating perhaps that the step-by-step, logical mode of analysis is in the long run the most fruitless of all.",,,George,B.,Leonard,,Change
The sacred bonds of memory...,,,Abraham,,Lincoln,,History
"Four score and seven years ago our fathers brought forth on this continent, a new nation, conceived in Liberty, and dedicated to the proposition that all men are created equal. Now we are engaged in a great civil war, testing whether that nation, or any nation so conceived and so dedicated, can long endure. We are met on a great battle-field of that war. We have come to dedicate a portion of that field, as a final resting place for those who here gave their lives that that nation might live. It is altogether fitting and proper that we should do this. But, in a larger sense, we can not dedicate-we can not consecrate-we can not hallow-this ground. The brave men, living and dead, who struggled here, have consecrated it, far above our poor power to add or detract. The world will little note, nor long remember what we say here, but it can never forget what they did here. It is for us the living, rather, to be dedicated here to the unfinished work which they who fought here have thus far so nobly advanced. It is rather for us to be here dedicated to the great task remaining before us-that from these honored dead we take increased devotion to that cause for which they gave the last full measure of devotion-that we here highly resolve that these dead shall not have died in vain-that this nation, under God, shall have a new birth of freedom-and that government of the people, by the people, for the people, shall not perish from the earth.",Gettysburg Address,,Abraham,,Lincoln,,History
"I am loath to close. We are not enemies, but friends. We must not be enemies. Though passion may have strained, it must not break our bonds of affection. The mystic chords of memory, stre[t]ching from every battle-field, and patriot grave, to every living heart and hearthstone, all over this broad land, will yet swell the chorus of the Union, when again touched, as surely they will be, by the better angels of our nature.",1st Inaugural Address,,Abraham,,Lincoln,,History
The purpose of government is to ensure that there is an open field and a fair chance.,,,Abraham,,Lincoln,,Law
You cannot escape the responsibility of tomorrow by evading it today.,,,Abraham,,Lincoln,,Wisdom
Most folks are as happy as they make up their minds to be.,,,Abraham,,Lincoln,,Wisdom
"Those who deny freedom to others deserve it not for themselves, and, under a just God, cannot retain it.",,,Abraham,,Lincoln,,Wisdom
"Freedom is the last, best hope of earth.",,,Abraham,,Lincoln,,Wisdom
Leave nothing for tomorrow which can be done today.,,,Abraham,,Lincoln,,Wisdom
"I leave you, hoping that the lamp of liberty will burn in your bosoms until there shall no longer be a doubt that all men are created free and equal.",,,Abraham,,Lincoln,,Wisdom
"When you're making a housing decision, you're also making a decision on transportation.",,,Barbara,,Lipman,,City
"You say what you think needs to be said. If it needs to be said, there are going to be a lot of people who will disagree with it, or it wouldn't need to be said.",,,Herb,,Lock,,Wisdom
"..in general we call these sorts of claims [about why a road cannot be narrowed], by conventional thinkers (usually conventional, old-school, traffic engineers), technical brush-offs. The idea is that, through the misuse of their position, they simply blow off your legitimate design proposal with a technical brush-off. You are supposed to go away and not come back. The benefit to them is that they waste very little time on you and your proposal. However, you research the technical brush-off, find out that it is baloney, come back, and confront them. They then will say, Oh, good job, you're right. However, your idea won't work because ..... and they will give you another technical brush-off. This pattern can continue until either you give up or it is too late. Plus, a lot of damage can be done in the meantime by stirring up the neighbors, the fire chief, and/or the police. You have been given two technical brush-offs so far...The next brush-offs will likely have to do with the classification of the street and that they can't do what you propose. It might also be that they cannot use certain types of funding to reduce car-carrying capacity. By the time you get right down to the real issue, it will likely be that they simply do not want to do the road diet. It violates their paradigm. In these situations, you'll have to decide, at some point, if you will be able to convince the traffic dinosaurs of the overall benefits to society of you proposal.",,,Ian,,Lockwood,,Thoroughfares
The English Department of Transport has concluded that more roads create more traffic.,2000,,,,London Times,,Cars
"And when we speak we are afraid our words will not be heard nor welcome, but when we are silent we are still afraid. So it is better to speak remembering we were never meant to survive.",,,Audie,,Lorde,,Wisdom
"Youth is not a period of life, it is a condition of the spirit, a result of the will, a quality of the imagination, an intensity of emotion, a victory of courage over timidity, a taste for adventure over comfort. One becomes old when one abandons one's ideals.",1945,,Douglas,,Macarthur,,Wisdom
New Rule: Nobody can use the phrase our greatest problem anymore unless you’re talking about global warming.,,,Bill,,Maher,,Environment
LEED architecture without good urban design is like cutting down the rainforest using hybrid-powered bulldozers.,,,Dan,,Malouff,,Sustainability
Be ashamed to die until you have won some victory for humanity.,,,Horace,,Mann,educational reformer (1796-1859),Wisdom
It is not enough to show people how to live better; there is a mandate for any group with enormous powers of communication to show people how to be better.,,,Marya,,Mannes,,Change
"E. M. Forster never gets any further than warming the teapot. He's a rare fine hand at that. Feel this teapot. Is it not beautifully warm? Yes, but there ain't going to be no tea.",,,Katherine,,Mansfield,,Wisdom
Studying trees in order to be a better architect is like studying poetry to be a better surgeon.,,,Dino,,Marcantonio,,Architecture
"A city's internal transportation system... the layout of its streets and roads, the layout of streetcar systems and subways... determines the character of the city, how its citizens live and work. It has less to do with the direct engines of wealth creation. Build subways and people will live in dense neighborhoods and walk to corner stores; build broad suburban streets and they will live in subdivisions and drive to the Wal-Mart.",How Cities Work,,Alex,,Marshall,,Thoroughfares
"Tulane should be a center of the reconstruction of New Orleans. Instead, Dean Kroloff has shat in the nest and been subsequently chased off to Amsterdam and Nieuw Amsterdam.",,,John,,Massengale,,Modernism
"[American] Planners fight against good urbanism every day of the week, and have for fifty years.",,,John,,Massengale,,Planning
Few things have been as destructive to the advancement of western civilization as guilt.,,,John,,Massengale,,Wisdom
Anxiety makes you stupid.,,,John,,Massengale,,Wisdom
"Enter through the narrow gate. For wide is the gate and broad is the road that leads to destruction, and many enter through it. But small is the gate and narrow the road that leads to life, and only a few find it.",,,,,Matthew 7:13-14,,Wisdom
One of the interesting features of much of [the recent research regarding walking] is that taken as a whole it shows that mixed use and walkable destinations have a bigger impact on walking than the quality of the pedestrian environment itself. Beautiful sidewalks with nowhere to go don't really cut it.,,,Barbara,,McCann,,Walkability
"Planners putting colors on maps are like cavemen painting on rocks. They think that by drawing themselves spearing a deer, that it will actually happen. This method is called sympathetic magic.",,,Sue,,McGlynn,,Planning
The United Sates is threatening Cuba with weapons of mass construction.,,,Sue,,McGlynn,,Sprawl
Don't be yourself. Be someone a little nicer.,,,Mignon,,McLaughlin,journalist and author,Wisdom
"Growth is inevitable and desirable, but destruction of community character is not. The question is not whether your part of the world is going to change. The question is how.",,,Edward,T.,McMahon,,Change
Any town that doesn't have sidewalks doesn't love its children.,,,Margaret,,Mead,,Walkability
"For every complex problem, there is a solution that is simple, neat, and wrong.",,,H. L.,,Mencken,,Design
Every beauty which is seen here below by persons of perception resemble more than anything else that celestial source from which we all are come....,,,,,Michelangelo,,Wisdom
"...Rather than design a transportation system to get the most out of America's cities, America redesigned the cities to get the most out of the automobile.",,,Richard,,Moe,,Cars
The most important task of the urbanist is controlling size.,,,David,,Mohney,,Urbanism
"We have taller buildings but shorter tempers; wider freeways but narrower viewpoints; we spend more but have less; we buy more but enjoy it less; we have bigger houses and smaller families; more conveniences, yet less time; we have more degrees but less sense; more knowledge but less judgment; more experts, yet more problems; we have more gadgets but less satisfaction; more medicine, yet less wellness; we take more vitamins but see fewer results. We drink too much; smoke too much; spend too recklessly; laugh too little; drive too fast; get too angry quickly; stay up too late; get up too tired; read too seldom; watch TV too much and pray too seldom. We have multiplied our possessions, but reduced our values; we fly in faster planes to arrive there quicker, to do less and return sooner; we sign more contracts only to realize fewer profits; we talk too much; love too seldom and lie too often. We've learned how to make a living, but not a life; we've added years to life, not life to years. We've been all the way to the moon and back, but have trouble crossing the street to meet the new neighbor. We've conquered outer space, but not inner space; we've done larger things, but not better things; we've cleaned up the air, but polluted the soul; we've split the atom, but not our prejudice; we write more, but learn less; plan more, but accomplish less; we make faster planes, but longer lines; we learned to rush, but not to wait; we have more weapons, but less peace; higher incomes, but lower morals; more parties, but less fun; more food, but less appeasement; more acquaintances, but fewer friends; more effort, but less success. We build more computers to hold more information, to produce more copies than ever, but have less communication; drive smaller cars that have bigger problems; build larger factories that produce less. We've become long on quantity, but short on quality. These are the times of fast foods and slow digestion; tall men, but short character; steep in profits, but shallow relationships. These are times of world peace, but domestic warfare; more leisure and less fun; higher postage, but slower mail; more kinds of food, but less nutrition. These are days of two incomes, but more divorces; these are times of fancier houses, but broken homes. These are days of quick trips, disposable diapers, cartridge living, thow-away morality, one-night stands, overweight bodies and pills that do everything from cheer, to prevent, quiet or kill. It is a time when there is much in the show window and nothing in the stock room. Indeed, these are the times!",,,Dr. Bob,,Moorehead,,Wisdom
"Do you want to know what depresses the American spirit? Do you want to know why it feels as if the center cannot hold and the tyranny of mediocrity has been loosed upon our world? Do you want to know what instills thoughts of suicide and creates a desperate, low-level rage the source of which we cannot quite identify but that we know is right under our noses and that we now inhale Prozac and Xanax and Paxil by the truckload to attempt to mollify? I have your answer. Here it is. Look. It is the appalling spread of big- box strip malls, tract homes like a cancer, meta-developments paving over the American landscape, all creating a bizarre sense of copious loss, empty excess, heartless glut, forcing us to ask, once again, the Great All-American Question: How can we have so damned much but still feel as if we have almost nothing at all?",San Francisco Chronicle,,Mark,,Morford,,Sprawl
Time is meaningless without change.,,,Kevin,,Kelly,,Wisdom
"Isn't it paradoxical that the old factories are now the place of efficient and desirable urban living, while the suburban escape from them have become consumptive, environmentally unsustainable, noxious places.",,,Michael,,Morrissey,,Sprawl
"The most serious obstacles in our road building program are not money, nor engineering problems, nor cruel terrain-but PEOPLE.",,,James,J.,Morton,,Transportation
"The car is not the enemy, nor is the elimination of cars the solution. It is our societal bias toward cars that must be questioned.",,,Anne,Vernez,Moudon,,Cars
"To allow for future street widening,traffic engineers promoted the big front setback and tried to eliminate the sidewalk.",,,Anne,Vernez,Moudon,,Thoroughfares
"Vernacular architecture was the sole delivery vehicle for affordable housing in most places from the dawn of time until about 1925. Inexplicably, we have almost completely ceased to use it in the decades since.",,,Steve,,Mouzon,,Affordable Housing
AgriVultures: Agribusiness corporations who attempt to patent heirloom varieties of fruits or vegetables.,,,Steve,,Mouzon,,Agriculture
Fake shutters aren't shutters. Shutters are things that shut. Panels that screw on the wall and do nothing aren't shutters; they're Screw-On Do-Nothings.,,,Steve,,Mouzon,,Architecture
"Facadomy: Similar to a lobotomy, a facadomy usually requires lopping off parts of the facade such as the cornice to make the cool new corrugated aluminum skin fit properly. Almost as heinous as the facadomy is the reverse facadomy, where the facade is preserved, but the rest of the building is demolished and a huge new building is constructed behind the now-paper-thin facade.",,,Steve,,Mouzon,,Architecture
Mansardation: the use of a short Mansard roof to decorate the edge of a flat roof and hide the mechanical equipment installed thereon.,,,Steve,,Mouzon,,Architecture
"Style-based coding is founded on the proposition that 'thou shalt do this because I have better taste than you,' whereas principle-based coding is founded on the proposition that 'we do this because...'.",,,Steve,,Mouzon,,Codes
"Fundamental Land Preservation: The act of building more compactly than the latest surrounding sprawl, which is the pattern that would otherwise be used to house the people you are housing. Land preserved by Fundamental Land Preservation requires no political will to keep it in place through time. Once enacted, its only enemy is unlovable architecture, because it remains in force for so long as the units remain inhabited.",,,Steve,,Mouzon,,Development
Can you make a living where you're living?,,,Steve,,Mouzon,,Jobs
That which is most intensely 'of our time' today is by definition the most quickly 'outadate' tomorrow.,,,Steve,,Mouzon,,Modernism
"In order to be significant today, you've got to out-weird Frank Gehry. In order to be significant in five years, you'll have to out-weird the person that out-weirded Frank Gehry. The entire movement is hurtling toward the Wall of Terminal Weirdness, where it will crash because things can't get any stranger.",,,Steve,,Mouzon,,Modernism
"New Urbanism cannot happen without bricks and mortar. Until we move people to the point that they build differently from what they otherwise would have, NU is only a theory, and it does nobody any good except those that enjoy concocting the theories. NU is about building differently.",,,Steve,,Mouzon,,New Urbanism
"Tourist Test: Is a place good enough that people come from far away to visit it for the delight of being there, rather than to visit friends or to be entertained? If so, then may be one of the Most-Loved Places.",,,Steve,,Mouzon,,New Urbanism
"Decorated Subdivision: Synonym for Hybrid New Urbanism. Basically, you take a conventional subdivision and decorate it with a few alleys, sidewalks, and maybe a gazebo on a sliver of common land somewhere.",,,Steve,,Mouzon,,New Urbanism
"New Urbanists often aren't interested in something until someone says it can't be done. Then, they say 'maybe that should be our next project'.",,,Steve,,Mouzon,,New Urbanism
"Nearly everything the New Urbanism has accomplished over the last three decades was beforehand illegal, inconceivable, or considered impossible.",,,Steve,,Mouzon,,New Urbanism
"Marketing Message: ‘Eatin' good in the neighborhood...’
Physical Reality: ‘Servin' it hot in the parking lot...’",,,Steve,,Mouzon,,Sprawl
"Style is a blunt instrument, because you must either swallow the whole thing or reject it. Individual patterns, on the other hand, are surgically precise, and may be discussed intelligently because of their relative simplicity.",,,Steve,,Mouzon,,Style
"Post-Stylistic Architecture: The architecture that emerges after the end of the Hundred-Year Style Wars that is based on the regional conditions, climate, and culture of a place, and that is express simply as this is how we build here. Its genetic code is passed down to the next generation pattern-by-pattern prefaced by a simple rule of thumb, and followed by 'We do this because...'.",,,Steve,,Mouzon,,Style
That which can reproduce and live sustainably is green; that which is incapable of doing so is not green. This is the standard of life. Life is that process which creates all things green.,,,Steve,,Mouzon,,Sustainability
"If a building cannot be loved, its carbon footprint is meaningless because it will demolished and carted off to the landfill in a generation or two.",,,Steve,,Mouzon,,Sustainability
The carbon footprint of a building doesn't mean much if it is built in an unsustainable place where you have to drive everywhere.,,,Steve,,Mouzon,,Sustainability
"Originally (before the Thermostat Age) people had no choice but to build green, otherwise people would freeze to death in winter, die of heat strokes by summer, or other really bad things would happen to them.",,,Steve,,Mouzon,,Sustainability
"We need to move as quickly as possible from the previous condition of global warming being an issue embraced by one political party and opposed by the other to the future condition where all hands are vigorously on deck to try to do something about it. We all need to move as quickly as possible to de-politicize global warming so that years are not wasted in blame, but rather spent productively getting things done.",,,Steve,,Mouzon,,Sustainability
"The seriously poor live the most ecological lifestyles because they can't afford to do otherwise. The trick is to take elements of the peasant lifestyle, elevate them and make them alluring to the rich so that, if adopted, they will move down to the middle class.",,,Steve,,Mouzon,,Sustainability
"There's a fundamental flaw the 'anti-consumption agenda'... the measure should not be primarily the things that you consume, because every living creature consumes things... life itself is one long repeated act of consumption... life cannot occur without consumption. When a creature ceases to consume, they cease to live, so the only creatures that do not consume anything are the dead ones. Rather, the standard should be: 'do your wastes become another creature's raw materials, or do they go to the landfill instead?' This is a fundamental reason why the sustainability of the place is as important as the sustainability of the building or the practices of the individuals who inhabit those buildings.",,,Steve,,Mouzon,,Sustainability
"Urbanists no longer need to talk just about Compactness, Walkability, and Diversity, but rather Compactness, Walkability, Diversity, AND Sustainability. Architects no longer need to talk just about Commodity, Firmness, and Delight, but rather Commodity, Firmness, Delight, AND Wellness.",,,Steve,,Mouzon,,Sustainability
Suffering isn't sustainable.,,,Steve,,Mouzon,,Sustainability
Sustainability is far less about which green gizmos we buy and far more about how we live differently. Better efficiency alone can’t get the job done.,,,Steve,,Mouzon,,Sustainability
"Sustainability is more about what we do than what we buy. We must make changes, not just the gizmo manufacturers.",,,Steve,,Mouzon,,Sustainability
"If we want sustainability without catastrophe, then we must very soon rebuild green ideas around that which is lovable.",,,Steve,,Mouzon,,Sustainability
"People often do what they want to, but don’t often do what they ought to. Far too much sustainability advice begins with “you ought to...” We must rebuild the idea of sustainability around that which can be desired.",,,Steve,,Mouzon,,Sustainability
"If all we can do is to build historical replicas, we become relics ourselves.",,,Steve,,Mouzon,,Tradition
Private architectural languages die with their creators.,,,Steve,,Mouzon,,Tradition
"A living tradition is about as similar to an historic tradition as a living creature is to a fossil. The shapes may be similar, but one is living and the other is not. The living thing can change, while the historic one is fixed in history for all time.",,,Steve,,Mouzon,,Tradition
"A tradition begins as a great idea by a single person having to do with a better way of building something. They build the idea, and other people see it. If it resonates enough with other people that they say I must have this on my house, my shop, or my town (depending on the scale of the pattern) then they, too, build it and it becomes a local pattern. Later, if the people of the region see it and say we love this; we want to adopt it into our family of regional traditions, then it becomes a regional pattern. Traditions, therefore, are those things that are most worthy of love.",,,Steve,,Mouzon,,Tradition
"New Urbanists reserve the right to learn from our predecessors. But we also reserve the right to invent new things, too.",,,Steve,,Mouzon,,Tradition
"The gateway to greatness is a great variety in a narrow range. This is the unifying characteristic of all great places. The great variety creates life, whereas the narrow range creates an identifiable character. Achieving both in the same place has proven extraordinarily difficult in new places; most have achieved one or the other, but not both.",,,Steve,,Mouzon,,Tradition
Tradition is impossible without copying something.,,,Steve,,Mouzon,,Tradition
The greatness of an idea is measured by how many times it is copied and how far it spreads. Those who don't want their work to be copied are unknowingly desiring mediocrity... or worse.,,,Steve,,Mouzon,,Tradition
"Tradition is that which involves roughly 98% of the market. If we're more worried about the 2% than the 98%, then we get what we deserve, which is the adulation of the architects and the alienation of almost everyone else.",,,Steve,,Mouzon,,Tradition
"Tradition has a secret power: the ability to embed wisdom in beauty. A great deal of wisdom can then be passed down by the untrained, simply because they love what they are replicating.",,,Steve,,Mouzon,,Tradition
"A living tradition isn't a style. Rather, it's simply the best response to regional conditions, climate, and culture. Those who participate in a living tradition simply say 'this is how we build here'.",,,Steve,,Mouzon,,Tradition
"Until a pattern is copied by someone other than its originator, it cannot be strictly said to be alive. But once it is copied, it becomes a living thing and can persist for decades, centuries, or occasionally even millennia after its originator dies and is forgotten.",,,Steve,,Mouzon,,Tradition
"Are you planting or selling? If you sell an idea, then you must sell it again and again, and each time the idea is built, it immediately begins to decay. But if you plant an idea instead that can take on a life of its own and replicate without you, then that idea can be doing good long after you are gone and forgotten.",,,Steve,,Mouzon,,Tradition
Copyrighting your own design assures that the genetic material of your design will never become part of a tradition. Copyrighting all design assures that no long-term advancement in design is likely.,,,Steve,,Mouzon,,Tradition
We are stuck in 1910 until we learn to re-start living traditions.,,,Steve,,Mouzon,,Tradition
"Historical style was a necessary schoolteacher to help bring us out of the Dark Ages of Architecture and into the New Renaissance, but it has now become an impediment. Why? Because if you're really wanting to engage the people (and the builders,) then they WILL learn a best architecture of their place, but they WILL NOT learn a half-dozen (or more) historical styles. Only architectural historians will do that. So if you really want to re-start a living tradition in a place, it cannot be based on a collection of historical styles, but rather on the simple notion of 'this is how we build here'.",,,Steve,,Mouzon,,Tradition
Where you sit is where you stand,,,Thomas,P. “Tip”,O’Neill,,Wisdom
"Reality is that which, when you stop believing in it, doesn't go away.",,,Philip,K.,Dick,,Wisdom
"Transectendental: Transcending the simplistic fried-egg understanding of the Transect with all sorts of quirky, fine-grained breaks, often in mid-block, such as the classic T5 End Cap On T4 Block.",,,Steve,,Mouzon,,Transect
"Transect Zone Bigotry: This phenomenon probably occurred first in our time as an intolerance of anything that was not suburban. Not surprisingly, there is a backlash within the New Urbanism against anything that IS suburban, illustrating two sides of Transect Zone Bigotry: Focused Transect Zone Bigotry is intolerance of one particular zone, whereas Widespread Transect Zone Bigotry is intolerance of any zone other than the one in which one lives. There is a third form, which is Shifted Transect Zone Bigotry. It's a quirky thing characterized by admiration of one zone, while living in an adjacent zone. The most common example is the millions of Americans who live in T-3 but lionize T-2. It's not Suburban Music, of course, it's Country Music. Regardless of which form it takes, Transect Zone Bigotry is caustic... and stupid... because it takes tools out of the toolbox.",,,Steve,,Mouzon,,Transect
"The vernacular process is based on things that resonate enough with the average citizen that they want to repeat it on their house, their shop, or their town. Repeated enough over time, it becomes a pattern, and then a tradition. The Most-Loved Places are therefore all by definition traditional places.",,,Steve,,Mouzon,,Vernacular
"Some say that fences and porches are historical pastiche, or worse. But a porch can be a finely-honed social interaction device that, when combined with a sharply-tuned psychological protection device we call a fence, sets the stage for unplanned conversations to occur between people that haven't met until now. Those conversations lead to relationships, and relationships lead to people acting like neighbors again.",,,Steve,,Mouzon,,Walkability
"Pedestrian Propulsion is that factor by which people will walk further than 1/4 mile instead of driving, like they will do on a standard T4 residential street with proper street widths, curb radii, street trees, fences, and homes with porches. Unwalkable environments exhibit Pedestrian Obstruction rather than Pedestrian Propulsion, which is that factor by which people will walk less than 1/4 mile instead of driving.",,,Steve,,Mouzon,,Walkability
"Orphan Blocks: Those blocks that are orphaned from their neighborhood by either being too far from the neighborhood center to be walkable, or by being placed on the far side of a major thoroughfare that mothers will not let their children cross.",,,Steve,,Mouzon,,Walkability
"When we try to pick out anything by itself, we find it hitched to everything else in the universe.",,,John,,Muir,Sierra Club founder,Environment
Our national flower is the concrete cloverleaf.,,,Lewis,,Mumford,,Cars
"The right to have access to every building in the city by private motorcar in an age when everyone possesses such a vehicle, is actually the right to destroy the city.",,,Lewis,,Mumford,,Cars
"Above all else, a city is a means of providing a maximum number of social contacts and satisfactions. When the open spaces gape too widely, and the dispersal is too constant, the people lack a stage for their activities and the drama of their daily life lacks sharp focus.",The Highway and the City,,Lewis,,Mumford,,City
"Democracy, in any active sense, begins and ends in communities small enough for their members to meet face to face.",,,Lewis,,Mumford,,Community
"The technology of the automobile, coupled with telephone, radio and rural electrification, could foster a new settlement pattern of rural dispersion which could give to the whole continent that stable, well balanced, settled, cultivated life which grew out of its provincial settlements.",,,Lewis,,Mumford,,Planning
Trend is not destiny.,,,Lewis,,Mumford,,Wisdom
We cannot continue to believe that the landscape is sacred and the city profane. They must both be considered sacred.,,,Paul,,Murrain,,City
"What kills a city are people who want only low taxes, only want a good deal and only want cities to be about . . . pipes, pavement and policing.",,,Glen,,Murray,"mayor of Winnipeg, Manitoba",City
"We are making great progress, but we are going in the wrong direction.",,,Ogden,,Nash,,Wisdom
The land use and urban form of cities are...fundamentally shaped by priorities in transportation...the essential character of a city's land use comes down to how it manages its transport.,also with Jeffrey Kenworthy,,Peter,,Newman,,Transportation
"Infill development is publicly cheap but privately expensive, while sprawl is publicly expensive but privately cheap.",,,James,,Nicholas,,Sprawl
"Insanity in individuals is something rare... but in groups, parties, nations and epochs, it is the rule.",,,Friedrich,,Nietzsche,philosopher,Government
All truly great thoughts are conceived by walking.,,,Friedrich,,Nietzsche,,Walkability
Cities are for people. A city is where people come to work and raise their families and to spend their money and to walk in the evening. It is not a traffic corridor.,,,John,,Norquist,,City
This used to be Main Street USA. It's now a code violation all over America.,,,John,,Norquist,,Thoroughfares
"There is no greater form of subsidized social engineering than the interstate highway, which hastens the flight out of the city without doing much to ease traffic congestion.",,,John,,Norquist,,Transportation
"Benefits [of a home in a new urbanist neighborhood] should be framed in the same manner as other products are sold in our culture (by emphasizing aspects such as value, convenience, choice, safety, healthy living, or beauty).",,,Nathan,,Norris,,New Urbanism
"We need to design our cities so that one feels embarrassed, inconvenienced, and like one who is missing out on all the fun when driving a car.",,,Dom,,Nozzi,,City
"In 1999, Gainesville had a population of approximately 100,000. That same year, San Francisco had a population of approximately 777,000. The Paris inner area had a population of approximately 2.1 million. The eye-opener is that Gainesville's land area, at just over 50 square miles, is larger than both San Francisco (46.7 sq mi) and Inner Area Paris (41 sq mi).",also with Michael Hoge,,Dom,,Nozzi,,Density
"If you are an elected official lacking in courage and leadership, and you face even a peep of opposition to a project, fall back on perfectionism to find a flaws so that you can shoot down the project. Perfectionism leads to paralysis.",,,Dom,,Nozzi,,Leadership
"In part, public planning agencies have no vision because they are drowning in minutiae.",,,Dom,,Nozzi,,Leadership
"Smart Growth defined: Making the car an option, not a necessity.",,,Dom,,Nozzi,,New Urbanism
This nation is drowning in a sea of free and abundant parking.,,,Dom,,Nozzi,,Parking
"Suburban planning is all about separation and segregation of uses. Buffers, enormous setbacks, masking. Urban planning, by stark contrast, strives for mixed and shared use, permeability, and compact dimensions.",,,Dom,,Nozzi,,Planning
NIMBYs on steriods.,,,Dom,,Nozzi,,Public Process
"Places don't become strip commercial because all the trees were cut down. They become strip commercial because the place has been scaled for cars. The road is too wide. The parking lot is too big. The building setbacks are too large. Ironically, saving a tree often promotes such an over-allocation of space.",,,Dom,,Nozzi,,Thoroughfares
"With modest roads, Big Box retail is impossible. With large roads, Big Box retail is inevitable.",,,Dom,,Nozzi,,Thoroughfares
The pedestrian is the design imperative.,,,Dom,,Nozzi,,Walkability
"I, for one, enjoy things I haven't planned, adding spice to where I live...",,,Terri,,O'Hare,,Community
"I was walking to work this morning when I saw a huge group of out-of-town students filling the street corner on Eighth Avenue and 56th Street. As I was squeezing my way by them, I saw two teenage girls looking up Eighth Avenue at the start of Central Park. One girl turned to the other and asked, Is that the end of the city?",,,Alice,,Oglethorpe,,City
He who tells the truth must have one foot in the stirrup.,,,,,Old Armenian proverb,,Change
"Working adults formerly enjoyed an hour of community time after the workday was over and before they were expected home. It has been replaced by an hour of commuting time. The former warmed us to our fellow human beings, the latter conditions us to hate them.",Celebrating the Third Place,,Ray,,Oldenburg,,Cars
Doing the right thing for the wrong reason still gets it done.,,,Alvin,,Orloff,,Wisdom
"It doesn't matter whether a cat is black or white, as long as it catches mice.",,,T'eng,Hsiao,P'ing,,Government
